STAT;Lat;Long;h[m];estado_abril_2021
SROD;19,4752507;-71,3411616;98,7779;#N/A
MQ02;-17,634491;-71,3420723;44,3902;#N/A
LNQM;-38,4552203;-71,3618788;940,454;#N/A
PTCL;-17,70135159;-71,37040227;99,39503331;#N/A
LAJA;-37,38552981;-71,37644682;1437,646805;#N/A
RUBI;3,7934051;-71,4237681;206,3791;#N/A
SANP;-33,8734591;-71,4805061;191,4345;#N/A
AREV;-16,4655161;-71,4927963;2488,9234;removed
AREQ;-16,4655163;-71,4927964;2488,9232;active
AQ01;-16,42149328;-71,50749142;2455,039149;active
ANTC;-37,33869949;-71,5320621;745,4892715;active
RANC;-36,5487309;-71,5669094;465,4824;#N/A
MARA;10,67397974;-71,62442999;28,36797433;removed
VALP;-33,02724176;-71,62609106;31,19058219;removed
LNRS;-35,85070001;-71,62942111;166,9511717;#N/A
CN08;17,9033735;-71,67406829;-17,10452132;#N/A
HLNE;-35,00463475;-71,74482468;65,22577459;#N/A
LLFN;-39,33304938;-71,78896184;389,772324;#N/A
CRBR;-16,99629479;-71,79014641;1072,88971;#N/A
COYQ;-45,5143402;-71,8920807;476,1634;removed
CS01;-13,52425548;-71,96259487;3410,018582;active
CN38;12,22182147;-71,98802632;10,45723951;#N/A
PCLM;-34,3848968;-72,0038452;36,9661;#N/A
CLL1;-36,59507062;-72,07996236;154,3557624;#N/A
NRVL;-35,54352555;-72,09482459;227,7782142;#N/A
CN09;19,68774626;-72,13981847;-15,01795588;#N/A
VOIL;18,5286781;-72,3086051;240,5722;#N/A
CAUQ;-35,968489;-72,3409992;157,349;#N/A
UDEC;-37,472301;-72,3447888;178,2332;#N/A
YOPA;5,3217618;-72,3889946;334,3594;#N/A
NIHU;-36,3946105;-72,3973108;112,8847;#N/A
CBRO;-37,04054082;-72,39871295;145,492989;#N/A
CUCU;7,89845969;-72,48793932;311,1684873;active
AQ03;-16,07622475;-72,49226757;662,0988131;#N/A
JMEL;18,23470872;-72,53632897;6,678400188;#N/A
JME2;18,2350473;-72,5384067;-8,4355;#N/A
TMCO;-38,76476917;-72,61372573;137,2932402;#N/A
LGNE;18,5075104;-72,63079158;2,443277766;#N/A
PAMP;7,384183936;-72,64778002;2366,626291;inactive
CRUZ;-7,611161226;-72,67211047;236,0112462;active
TRGN;-38,23557711;-72,6722884;278,5701483;#N/A
ANGO;-37,79588513;-72,69171049;93,49337556;removed
CBQC;-36,1470218;-72,8048739;35,884;#N/A
RIOH;11,5132168;-72,8697016;12,4798;removed
AP01;-13,63836534;-72,87817741;2419,175663;active
CHRA;-16,5173113;-72,9287566;65,8297;#N/A
CONZ;-36,84376566;-73,02551586;180,622556;removed
OSOR;-40,59724526;-73,10361878;84,31678675;removed
BNGA;7,1048888;-73,1237426;959,4998;inactive
MHIN;-39,4313778;-73,2148517;24,5218;#N/A
ARCO;-37,20585159;-73,22567066;28,18060947;#N/A
